season,episode,scene,speaker1,speaker2,speaker_pair,num_speaker_pairs,interaction_factor
1,3,6,Rachel Green,#ALL#,Rachel Green-#ALL#,15,0.06666666666666667
1,3,6,Chandler Bing,#ALL#,Chandler Bing-#ALL#,15,0.06666666666666667
1,3,6,Rachel Green,Joey Tribbiani,Rachel Green-Joey Tribbiani,15,0.06666666666666667
1,3,6,Chandler Bing,Joey Tribbiani,Chandler Bing-Joey Tribbiani,15,0.06666666666666667
1,3,6,Chandler Bing,Rachel Green,Chandler Bing-Rachel Green,15,0.06666666666666667
1,3,9,Ross Geller,#ALL#,Ross Geller-#ALL#,21,0.047619047619047616
1,3,9,Phoebe Buffay,Ross Geller,Phoebe Buffay-Ross Geller,21,0.047619047619047616
1,3,9,Chandler Bing,Ross Geller,Chandler Bing-Ross Geller,21,0.047619047619047616
1,3,9,Rachel Green,Ross Geller,Rachel Green-Ross Geller,21,0.047619047619047616
1,3,9,Monica Geller,Ross Geller,Monica Geller-Ross Geller,21,0.047619047619047616
1,3,9,Ross Geller,Joey Tribbiani,Ross Geller-Joey Tribbiani,21,0.047619047619047616
1,3,9,Phoebe Buffay,#ALL#,Phoebe Buffay-#ALL#,21,0.047619047619047616
1,3,9,Chandler Bing,#ALL#,Chandler Bing-#ALL#,21,0.047619047619047616
1,3,9,Rachel Green,#ALL#,Rachel Green-#ALL#,21,0.047619047619047616
1,3,9,Monica Geller,#ALL#,Monica Geller-#ALL#,21,0.047619047619047616
1,3,9,#ALL#,Joey Tribbiani,#ALL#-Joey Tribbiani,21,0.047619047619047616
1,3,9,Chandler Bing,Phoebe Buffay,Chandler Bing-Phoebe Buffay,21,0.047619047619047616
